TIMESTAMP;setFrequency; RESULTS;readOutput
2026-08-05 12:28:07.983595;2716000000.0; ;-1.85334e-06
2026-08-05 12:28:08.827313;2717000000.0; ;-1.57208e-06
2026-08-05 12:28:09.679359;2718000000.0; ;-1.33552e-06
2026-08-05 12:28:10.511058;2719000000.0; ;-1.22935e-06
2026-08-05 12:28:11.353136;2720000000.0; ;-1.33925e-06
2026-08-05 12:28:12.183326;2721000000.0; ;-1.22563e-06
2026-08-05 12:28:13.024264;2722000000.0; ;-1.37464e-06
2026-08-05 12:28:13.858818;2723000000.0; ;-1.75834e-06
2026-08-05 12:28:14.713056;2724000000.0; ;-2.48106e-06
2026-08-05 12:28:15.537564;2725000000.0; ;-2.74183e-06
2026-08-05 12:28:16.390663;2726000000.0; ;-2.7083e-06
2026-08-05 12:28:17.255428;2727000000.0; ;-2.90947e-06
2026-08-05 12:28:18.091666;2728000000.0; ;-2.69526e-06
2026-08-05 12:28:18.924693;2729000000.0; ;-2.60027e-06
2026-08-05 12:28:19.769031;2730000000.0; ;-2.00795e-06
2026-08-05 12:28:20.607870;2731000000.0; ;-1.46405e-06
2026-08-05 12:28:21.449917;2732000000.0; ;-1.22749e-06
2026-08-05 12:28:22.289538;2733000000.0; ;-7.80452e-07
2026-08-05 12:28:23.127199;2734000000.0; ;-5.71836e-07
2026-08-05 12:28:23.966888;2735000000.0; ;-4.86154e-07
2026-08-05 12:28:24.799860;2736000000.0; ;-3.53904e-07
2026-08-05 12:28:25.643292;2737000000.0; ;-3.18514e-07
2026-08-05 12:28:26.493511;2738000000.0; ;-2.86849e-07
2026-08-05 12:28:27.333868;2739000000.0; ;-2.23518e-07
2026-08-05 12:28:28.187646;2740000000.0; ;-1.11759e-07
2026-08-05 12:28:29.025965;2741000000.0; ;-1.67639e-07
2026-08-05 12:28:29.870666;2742000000.0; ;-9.12701e-08
2026-08-05 12:28:30.715709;2743000000.0; ;-1.15484e-07
2026-08-05 12:28:31.556960;2744000000.0; ;-1.43425e-07
2026-08-05 12:28:32.413396;2745000000.0; ;-8.00942e-08
2026-08-05 12:28:33.240857;2746000000.0; ;-1.11759e-07
2026-08-05 12:28:34.081184;2747000000.0; ;-1.04309e-07
2026-08-05 12:28:34.921506;2748000000.0; ;-1.97441e-07
2026-08-05 12:28:35.770537;2749000000.0; ;-8.94074e-08
2026-08-05 12:28:36.627506;2750000000.0; ;-7.0781e-08
