# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
5.982500000000000E+09;-7.953443231207038E+01;9.906857995302954E+01;
5.990000000000000E+09;-8.005954575713588E+01;-7.241848138662901E+01;
5.997500000000000E+09;-7.910338028480373E+01;1.098188795119030E+02;
6.005000000000000E+09;-7.959898134669510E+01;-6.709367328552378E+01;
6.012500000000000E+09;-7.983575020106943E+01;1.223630668795394E+02;
6.020000000000000E+09;-7.897091928866544E+01;-5.413704231706232E+01;
6.027500000000000E+09;-7.931558089690741E+01;1.331288378926676E+02;
6.035000000000000E+09;-7.999309281662971E+01;-4.284190669452297E+01;
6.042500000000000E+09;-7.979952476902533E+01;1.401523057622049E+02;
6.050000000000000E+09;-7.973353929938511E+01;-3.157948220510234E+01;
6.057500000000000E+09;-7.934859557049155E+01;1.504224344727607E+02;
6.065000000000000E+09;-7.995396890157116E+01;-1.829199727388733E+01;
6.072500000000000E+09;-7.954710157940835E+01;1.670616082914962E+02;
6.080000000000000E+09;-7.981094983717152E+01;-7.094031326869683E+00;
6.087500000000000E+09;-7.946244307298454E+01;1.790452410284896E+02;
6.095000000000000E+09;-7.951392285822068E+01;2.858890002898836E+00;
6.102500000000000E+09;-7.992431283841158E+01;-1.748899071476828E+02;
6.110000000000000E+09;-7.946845681874504E+01;1.419483505694878E+01;
6.117500000000000E+09;-8.011109296829648E+01;-1.607651430777236E+02;
6.125000000000000E+09;-7.966756661584589E+01;2.570580721408058E+01;
6.132500000000000E+09;-7.974222882701517E+01;-1.488293226233056E+02;
6.140000000000000E+09;-7.964608958447539E+01;3.610777079185331E+01;
6.147500000000000E+09;-7.997293448930259E+01;-1.368817704019519E+02;
6.155000000000000E+09;-7.944846798235021E+01;5.174641351225717E+01;
6.162500000000000E+09;-7.938711080841355E+01;-1.220565579639274E+02;
6.170000000000000E+09;-7.946464223894922E+01;6.365764692398890E+01;
6.177500000000000E+09;-7.936005830463002E+01;-1.109051596560397E+02;
6.185000000000000E+09;-7.882746035060042E+01;7.489824503915256E+01;
6.192500000000000E+09;-7.941960017874689E+01;-1.037490412966683E+02;
6.200000000000000E+09;-7.920692531990119E+01;8.250309942280583E+01;
6.207500000000000E+09;-7.961154204606005E+01;-9.186703697977181E+01;
6.215000000000000E+09;-7.982775079348845E+01;9.528334017674034E+01;
6.222500000000000E+09;-7.914560719815820E+01;-7.622911269097651E+01;
6.230000000000000E+09;-7.924242661783934E+01;1.057333628088575E+02;
6.237500000000000E+09;-7.908443886125617E+01;-6.667239408372443E+01;
6.245000000000000E+09;-7.903035988615933E+01;1.196980773788646E+02;
6.252500000000000E+09;-7.980122195908595E+01;-5.782021135849172E+01;
6.260000000000000E+09;-7.962236206232242E+01;1.300354541836398E+02;
