TIMESTAMP;setFrequency; RESULTS;readOutput
2026-08-05 11:23:14.314053;2907000000.0; ;-1.97441e-07
2026-08-05 11:23:15.141026;2908000000.0; ;-1.09897e-07
2026-08-05 11:23:16.001197;2909000000.0; ;-1.95579e-07
2026-08-05 11:23:16.851237;2910000000.0; ;-8.75448e-08
2026-08-05 11:23:17.670582;2911000000.0; ;-2.23519e-08
2026-08-05 11:23:18.504905;2912000000.0; ;-1.1921e-07
2026-08-05 11:23:19.363402;2913000000.0; ;-4.8429e-08
2026-08-05 11:23:20.196609;2914000000.0; ;-3.91158e-08
2026-08-05 11:23:21.015016;2915000000.0; ;-3.53905e-08
2026-08-05 11:23:21.848524;2916000000.0; ;-1.8254e-07
2026-08-05 11:23:22.693686;2917000000.0; ;-5.58796e-08
2026-08-05 11:23:23.524284;2918000000.0; ;-1.7509e-07
2026-08-05 11:23:24.362105;2919000000.0; ;-1.24798e-07
2026-08-05 11:23:25.215353;2920000000.0; ;-8.38195e-08
2026-08-05 11:23:26.063369;2921000000.0; ;-3.16652e-08
2026-08-05 11:23:26.914021;2922000000.0; ;-1.67639e-08
2026-08-05 11:23:27.754014;2923000000.0; ;-9.6858e-08
2026-08-05 11:23:28.580989;2924000000.0; ;-3.53905e-08
2026-08-05 11:23:29.417548;2925000000.0; ;-1.09897e-07
2026-08-05 11:23:30.252467;2926000000.0; ;-1.34111e-07
2026-08-05 11:23:31.098107;2927000000.0; ;-4.65664e-08
2026-08-05 11:23:31.945712;2928000000.0; ;-7.26436e-08
2026-08-05 11:23:32.781100;2929000000.0; ;-8.00942e-08
